id;datum;mitte;friedrichshain_kreuzberg;pankow;charlottenburg_wilmersdorf;spandau;steglitz_zehlendorf;tempelhof_schoeneberg;neukoelln;treptow_koepenick;marzahn_hellersdorf;lichtenberg;reinickendorf
1613;2021-08-22;1;;;;8;1;;7;;;;23
1610;2021-08-21;;30;;;17;8;;18;11;;;16
1607;2021-08-20;85;34;25;30;59;28;44;62;16;16;31;34
1604;2021-08-19;63;46;23;35;25;18;34;55;29;45;32;37
1601;2021-08-18;74;49;36;41;39;38;50;73;16;28;19;44
1598;2021-08-17;45;46;31;62;59;31;59;64;18;37;43;57
1595;2021-08-16;95;51;63;95;28;27;71;97;17;26;46;22
1592;2021-08-15;;1;;;19;2;;17;;;;13
1589;2021-08-14;2;24;;;26;8;;20;9;;;21
1586;2021-08-13;51;39;28;39;48;40;48;52;8;28;36;25
1583;2021-08-12;57;51;32;36;52;33;24;73;7;32;22;40
1580;2021-08-11;55;49;36;55;49;9;49;96;17;25;30;36
1577;2021-08-10;52;36;39;38;52;21;35;70;19;26;23;38
1574;2021-08-09;41;51;40;59;8;22;35;86;20;24;42;25
1571;2021-08-08;5;;;;19;;;11;;;;10
1568;2021-08-07;1;18;;;20;8;;7;5;;;13
1565;2021-08-06;37;15;23;19;14;26;29;23;8;13;8;13
1562;2021-08-05;28;35;16;17;23;12;29;31;13;14;14;36
1559;2021-08-04;41;33;33;31;24;19;28;40;9;14;26;29
1556;2021-08-03;31;41;19;18;16;28;26;37;12;15;17;27
1553;2021-08-02;38;30;21;39;8;15;13;58;15;10;22;18
1550;2021-08-01;;;;;;;;6;;;;8
1547;2021-07-31;;;;;12;5;;2;;;;7
1544;2021-07-30;25;30;22;9;10;21;19;21;4;5;10;7
1541;2021-07-29;15;24;27;17;22;10;14;30;9;5;12;23
1538;2021-07-28;37;33;8;18;25;13;14;23;3;6;13;13
1535;2021-07-27;20;25;14;30;16;21;24;31;3;5;10;9
1532;2021-07-26;31;29;38;45;24;12;18;27;6;5;10;5
1529;2021-07-25;;;;;;;;6;1;;;2
1526;2021-07-24;;;;1;;10;;2;;;;14
1523;2021-07-23;24;31;20;13;11;14;16;11;;10;7;15
1520;2021-07-22;16;20;18;19;7;8;10;12;7;8;9;5
1517;2021-07-21;26;27;17;27;10;8;11;15;9;8;8;6
1514;2021-07-20;35;26;18;26;11;11;14;13;5;5;15;14
1511;2021-07-19;39;34;26;28;10;10;21;20;6;9;8;8
1508;2021-07-18;;;;;;;1;;;;;
1505;2021-07-17;;6;;;;3;1;4;;;;5
1502;2021-07-16;21;25;19;22;;4;11;12;8;1;8;9
1499;2021-07-15;18;27;14;17;8;9;12;12;5;2;4;7
1496;2021-07-14;15;14;21;9;5;7;14;19;5;;14;8
1493;2021-07-13;25;20;12;12;7;5;9;9;4;4;6;3
1490;2021-07-12;12;16;15;14;7;5;9;10;3;1;10;5
1487;2021-07-11;;;;;;;;;1;;;
1484;2021-07-10;;4;;;1;1;;;;;;1
1481;2021-07-09;11;10;4;10;1;6;3;10;1;2;2;5
1478;2021-07-08;8;9;8;4;7;2;;4;2;1;2;
1475;2021-07-07;13;5;7;7;2;5;6;4;3;1;;1
1472;2021-07-06;14;4;5;10;5;2;2;7;5;1;2;3
1469;2021-07-05;10;10;9;12;6;1;6;11;;2;2;4
1466;2021-07-04;;;;;;;;2;;;;2
1463;2021-07-03;;;;1;;1;;;;;;1
1460;2021-07-02;14;7;2;2;1;2;1;2;2;;2;3
1457;2021-07-01;4;2;;8;2;3;1;3;1;6;1;5
1454;2021-06-30;4;5;3;2;;2;4;7;3;1;2;3
1451;2021-06-29;7;9;1;9;2;1;1;1;3;2;6;3
1448;2021-06-28;5;5;5;3;3;3;2;5;5;2;1;1
1445;2021-06-27;;;2;;;;;;;;;
1442;2021-06-26;;2;;;1;1;;;;;;4
1439;2021-06-25;9;;4;2;;1;3;6;2;5;3;6
1436;2021-06-24;9;3;2;5;1;1;4;3;9;3;4;3
1433;2021-06-23;9;5;3;3;7;1;5;4;;4;1;11
1430;2021-06-22;7;;6;2;4;3;4;5;1;4;4;4
1427;2021-06-21;9;5;3;4;5;1;3;5;5;9;6;3
1424;2021-06-20;;;;;;;;;;;;1
1421;2021-06-19;;4;;3;6;;1;;;;;3
1418;2021-06-18;9;12;2;2;5;3;4;1;1;3;1;7
1415;2021-06-17;5;5;2;1;2;;;4;3;4;1;1
1412;2021-06-16;8;8;3;6;8;2;5;5;2;5;10;4
1409;2021-06-15;5;7;1;5;4;7;3;4;5;5;7;7
1406;2021-06-14;16;3;5;7;5;;2;10;2;5;5;2
1403;2021-06-13;;;;;;;3;1;;;;1
1400;2021-06-12;;3;;1;2;;2;1;;;;4
1397;2021-06-11;16;2;4;8;17;6;10;5;3;5;2;10
1394;2021-06-10;14;5;9;6;18;5;5;12;6;5;11;11
1391;2021-06-09;14;6;1;13;27;7;6;7;6;6;6;18
1388;2021-06-08;20;10;7;10;10;9;18;7;2;9;5;7
1385;2021-06-07;14;4;10;23;19;6;2;7;8;17;4;2
1382;2021-06-06;;;;;;;;5;;;;2
1379;2021-06-05;;7;;4;3;2;3;6;;;2;1
1376;2021-06-04;14;12;14;11;20;10;19;17;6;20;6;2
1373;2021-06-03;29;18;8;20;15;4;9;80;7;8;8;19
1370;2021-06-02;30;15;11;19;34;7;14;26;7;21;16;14
1367;2021-06-01;22;12;11;10;21;11;12;29;3;17;17;11
1364;2021-05-31;41;18;14;9;23;7;9;32;13;13;17;5
1361;2021-05-30;;;;;;;4;;;;;4
1358;2021-05-29;;18;;6;10;1;7;1;;12;;8
1355;2021-05-28;31;21;14;18;40;8;30;32;8;10;21;9
1352;2021-05-27;44;16;11;22;33;19;12;40;14;17;22;15
1349;2021-05-26;39;25;29;14;9;7;46;51;21;29;19;7
1346;2021-05-25;63;13;21;7;10;4;5;47;31;3;26;10
1343;2021-05-24;;5;;10;37;7;11;;;9;;
1340;2021-05-23;;;;;;;6;;;;;20
1337;2021-05-22;1;14;;15;6;6;19;2;;25;8;8
1334;2021-05-21;51;16;22;14;28;25;24;37;17;24;41;21
1331;2021-05-20;31;15;20;30;20;18;23;26;9;33;10;14
1328;2021-05-19;68;39;44;21;17;17;47;59;27;31;26;40
1325;2021-05-18;85;42;37;32;25;23;49;74;19;13;41;32
1322;2021-05-17;103;14;27;26;25;23;12;27;23;32;81;20
1319;2021-05-16;1;;;;;;14;;;;;19
1316;2021-05-15;;15;;45;24;6;22;;;49;;16
1313;2021-05-14;101;22;49;39;19;11;19;65;38;14;43;14
1310;2021-05-13;;1;;;27;17;29;;;24;1;27
1307;2021-05-12;84;58;48;69;56;39;50;69;39;62;57;44
1304;2021-05-11;64;40;33;28;38;30;38;74;35;34;43;54
1301;2021-05-10;98;53;55;50;43;13;22;76;33;21;71;21
1298;2021-05-09;;;;1;;;10;;;;;14
1295;2021-05-08;;32;;12;17;23;38;1;;56;;15
1292;2021-05-07;91;40;43;51;46;35;52;60;41;30;63;54
1289;2021-05-06;54;47;39;40;57;20;67;65;42;46;68;55
1286;2021-05-05;93;54;49;63;42;64;70;104;50;54;54;53
1283;2021-05-04;109;62;39;86;72;38;61;108;20;78;76;39
1280;2021-05-03;95;30;89;81;58;19;18;85;45;52;95;30
1277;2021-05-02;2;;;;;;16;;;1;;8
1274;2021-05-01;2;28;;30;36;31;52;1;;14;;23
1271;2021-04-30;63;55;39;44;59;41;83;74;14;110;42;52
1268;2021-04-29;75;71;62;63;79;55;78;104;54;24;59;52
1265;2021-04-28;95;48;40;73;63;67;97;100;64;68;71;98
1262;2021-04-27;120;85;58;91;68;55;75;183;58;56;54;74
1259;2021-04-26;138;100;77;133;106;25;35;84;48;46;86;46
1256;2021-04-25;2;;;;;5;34;;;;;56
1253;2021-04-24;5;53;;32;58;30;72;5;;62;78;33
1250;2021-04-23;131;59;89;66;85;45;54;84;33;72;44;52
1247;2021-04-22;95;41;86;60;88;56;98;106;51;79;68;64
1244;2021-04-21;152;105;79;63;60;96;103;140;63;66;73;67
1241;2021-04-20;105;92;74;90;78;54;103;117;54;71;103;88
1238;2021-04-19;139;37;98;111;53;30;37;126;32;38;99;37
1235;2021-04-18;;;;;;1;53;;;;;56
1232;2021-04-17;2;39;;44;22;44;38;27;;81;64;24
1229;2021-04-16;135;52;70;71;71;45;119;111;54;79;59;71
1226;2021-04-15;93;93;88;120;81;59;92;139;47;52;104;119
1223;2021-04-14;137;101;85;85;103;69;140;177;66;84;108;89
1220;2021-04-13;128;112;83;74;110;65;93;121;52;93;66;89
1217;2021-04-12;134;45;140;73;;37;43;63;89;46;87;50
1214;2021-04-11;;;;;;;50;10;;;;40
1211;2021-04-10;;57;;38;100;49;69;21;;39;60;57
1208;2021-04-09;103;81;139;49;88;79;89;113;100;77;59;99
1205;2021-04-08;167;60;58;69;48;69;97;81;85;68;75;67
1202;2021-04-07;66;50;89;70;70;40;76;89;35;35;62;54
1199;2021-04-06;114;37;96;41;16;17;38;81;35;17;66;65
1196;2021-04-05;;21;;69;61;55;33;1;;27;35;19
1193;2021-04-04;;15;;;;;15;74;;24;12;36
1190;2021-04-03;98;14;111;110;24;13;28;48;48;35;119;27
1187;2021-04-02;3;41;;1;71;51;79;10;;54;;42
1184;2021-04-01;94;60;83;86;67;55;65;110;58;101;49;86
1181;2021-03-31;128;73;92;90;128;60;104;119;68;63;104;77
1178;2021-03-30;126;62;62;97;73;79;67;108;79;46;83;67
1175;2021-03-29;114;67;98;80;72;35;22;125;56;31;49;34
1172;2021-03-28;3;1;;;;;53;;;;;43
1169;2021-03-27;;37;;21;65;32;71;50;;69;84;39
1166;2021-03-26;124;55;77;79;99;91;74;97;91;80;56;53
1163;2021-03-25;104;85;70;79;40;38;60;179;53;97;72;57
1160;2021-03-24;88;79;116;73;92;95;90;86;84;55;61;76
1157;2021-03-23;164;67;82;60;39;90;67;102;46;172;95;49
1154;2021-03-22;86;41;112;88;65;38;31;167;83;33;119;19
1151;2021-03-21;23;;;;;;20;;;;;37
1148;2021-03-20;17;48;;31;23;28;41;;;;40;27
1145;2021-03-19;61;41;87;60;62;39;67;55;59;50;7;40
1142;2021-03-18;119;45;76;42;43;48;57;75;44;51;87;68
1139;2021-03-17;94;67;54;66;70;56;83;65;41;76;39;37
1136;2021-03-16;65;35;53;63;50;39;61;80;24;59;47;61
1133;2021-03-15;113;38;60;43;64;26;32;108;61;38;55;42
1130;2021-03-14;;14;1;;;2;23;;;;;27
1127;2021-03-13;1;28;;41;22;54;60;2;;12;42;5
1124;2021-03-12;65;39;72;40;60;62;71;61;55;79;29;46
1121;2021-03-11;89;50;65;53;20;66;64;54;34;45;55;78
1118;2021-03-10;89;33;51;46;47;36;64;76;41;32;36;50
1115;2021-03-09;58;43;60;62;38;20;35;23;37;23;53;23
1112;2021-03-08;;12;;;;;15;24;;16;;7
1109;2021-03-07;1;1;;;;7;15;38;;;;26
1106;2021-03-06;;9;;20;21;19;37;;;4;28;31
1103;2021-03-05;52;31;26;29;28;32;61;57;31;22;45;23
1100;2021-03-04;39;27;33;41;32;32;63;31;41;47;28;27
1097;2021-03-03;37;20;28;63;30;53;80;76;43;19;25;42
1094;2021-03-02;56;36;25;42;20;26;48;44;47;57;43;54
1091;2021-03-01;66;36;49;35;52;40;25;92;31;20;52;10
1088;2021-02-28;;;;;;;7;;1;;;21
1085;2021-02-27;;8;;12;6;23;29;;;5;32;17
1082;2021-02-26;42;60;29;52;30;45;32;57;16;42;40;29
1079;2021-02-25;47;37;38;49;21;52;44;53;34;36;23;24
1076;2021-02-24;95;26;32;53;39;32;44;50;25;32;21;31
1073;2021-02-23;58;35;53;44;17;31;50;65;34;23;29;34
1070;2021-02-22;66;21;69;35;13;37;15;55;49;29;18;13
1067;2021-02-21;;;;;;;7;;;;;4
1064;2021-02-20;1;7;;26;20;15;38;;;6;33;29
1061;2021-02-19;60;27;25;31;36;28;44;43;17;23;16;20
1058;2021-02-18;69;26;33;27;31;26;21;45;35;23;28;19
1055;2021-02-17;39;24;35;67;38;21;28;51;28;41;45;30
1052;2021-02-16;41;29;46;19;18;20;27;42;31;28;41;29
1049;2021-02-15;46;22;46;39;16;13;7;44;56;17;48;17
1046;2021-02-14;;;;;;;5;1;;;;29
1043;2021-02-13;;5;;15;19;2;27;;;17;5;7
1040;2021-02-12;36;16;29;30;40;24;29;27;23;10;41;28
1037;2021-02-11;49;30;33;33;21;14;20;37;36;39;39;31
1034;2021-02-10;42;30;66;28;31;31;35;37;19;30;40;30
1031;2021-02-09;42;42;24;22;36;20;37;53;41;46;58;39
1028;2021-02-08;57;23;78;33;41;7;7;49;49;19;28;24
1025;2021-02-07;;;;;;1;5;;;;;19
1022;2021-02-06;1;21;;17;23;36;41;;;6;25;27
1019;2021-02-05;63;38;40;27;28;16;46;40;20;26;11;31
1016;2021-02-04;61;30;47;53;33;17;41;41;14;30;44;19
1013;2021-02-03;61;31;58;26;50;21;41;33;40;35;38;51
1010;2021-02-02;69;27;67;37;5;60;45;55;47;28;15;47
1007;2021-02-01;120;63;105;23;54;18;18;80;52;35;28;21
1004;2021-01-31;1;;;19;;5;19;;;;;11
1001;2021-01-30;8;12;;40;21;9;37;;;7;25;18
998;2021-01-29;59;38;66;37;25;27;47;56;34;41;26;55
995;2021-01-28;60;35;63;48;41;43;32;46;28;13;31;43
992;2021-01-27;77;35;88;39;37;44;41;56;64;44;75;42
989;2021-01-26;91;46;40;44;57;61;65;72;69;49;44;46
986;2021-01-25;108;33;97;62;51;12;22;74;52;37;38;17
983;2021-01-24;;;;4;;9;20;;;6;;17
980;2021-01-23;;29;;19;34;32;38;;;31;26;57
977;2021-01-22;99;41;55;64;44;65;73;58;54;31;44;29
974;2021-01-21;81;46;71;54;47;39;38;67;38;65;51;59
971;2021-01-20;98;29;97;59;67;56;92;104;35;73;84;65
968;2021-01-19;132;87;121;68;53;55;66;65;78;62;46;50
965;2021-01-18;94;27;125;48;37;13;16;111;90;22;35;29
962;2021-01-17;7;;;42;;24;40;16;;21;;18
959;2021-01-16;2;23;;30;25;47;41;4;1;34;42;43
956;2021-01-15;65;51;85;62;50;90;85;98;101;70;67;51
953;2021-01-14;92;53;113;62;79;76;96;93;74;73;105;80
950;2021-01-13;105;60;185;78;99;67;99;123;54;110;95;97
947;2021-01-12;109;72;174;92;101;56;82;106;110;80;104;77
944;2021-01-11;165;94;261;74;104;57;84;157;150;53;119;24
941;2021-01-10;3;;;51;1;42;44;;;48;;19
938;2021-01-09;;9;;89;48;64;51;;;14;63;77
935;2021-01-08;124;72;185;110;101;95;106;99;111;131;47;78
932;2021-01-07;126;79;178;158;153;68;175;196;156;123;108;105
929;2021-01-06;141;108;163;116;142;64;130;96;95;111;81;116
926;2021-01-05;129;43;136;140;109;65;111;83;113;72;83;84
923;2021-01-04;63;79;161;103;117;37;64;147;126;32;34;41
920;2021-01-03;84;;;13;57;49;38;;;122;48;47
917;2021-01-02;5;54;;110;14;39;19;11;104;86;18;19
914;2021-01-01;163;3;;;;43;23;;;;16;22
911;2020-12-31;;32;;64;4;45;88;49;;30;89;83
908;2020-12-30;62;78;91;117;130;94;100;95;35;49;108;87
905;2020-12-29;120;101;116;93;135;75;115;114;21;97;102;114
902;2020-12-28;139;87;116;92;197;108;74;92;46;36;121;46
899;2020-12-27;45;;;22;53;71;48;89;;87;15;53
896;2020-12-26;139;33;;112;7;79;58;;105;94;38;24
893;2020-12-25;4;;;;6;42;89;1;;;15;21
890;2020-12-24;1;70;;40;;123;95;73;;89;8;88
887;2020-12-23;140;124;102;163;113;103;135;238;77;106;100;168
884;2020-12-22;141;128;104;71;169;131;130;145;103;84;106;128
881;2020-12-21;249;151;216;102;178;95;125;102;88;75;139;51
878;2020-12-20;8;;;43;;130;89;;;21;;52
875;2020-12-19;;58;;76;109;19;69;20;;41;44;66
872;2020-12-18;117;157;186;91;127;87;170;139;149;127;65;116
869;2020-12-17;214;161;157;135;51;130;164;209;106;109;82;139
866;2020-12-16;209;93;155;118;133;107;132;161;85;81;94;193
863;2020-12-15;183;55;90;69;114;103;95;65;123;81;107;101
860;2020-12-14;293;141;159;100;89;81;93;199;107;71;59;132
857;2020-12-13;5;;;66;;35;73;;;57;32;37
854;2020-12-12;1;18;;64;13;72;123;45;;30;51;48
851;2020-12-11;155;117;111;126;123;136;118;142;86;48;93;67
848;2020-12-10;289;112;105;98;115;118;104;163;71;53;85;117
845;2020-12-09;84;122;122;96;142;144;89;166;130;133;74;118
842;2020-12-08;174;85;80;66;119;124;102;136;89;75;63;83
839;2020-12-07;242;63;165;51;111;109;74;173;170;19;64;81
836;2020-12-06;4;;;46;;35;67;9;;74;25;70
833;2020-12-05;1;30;;62;63;68;66;41;;43;9;47
830;2020-12-04;181;152;130;87;138;95;138;143;83;75;120;105
827;2020-12-03;240;168;110;119;122;106;104;88;65;69;59;144
824;2020-12-02;104;89;105;106;127;84;108;135;80;52;92;76
821;2020-12-01;158;85;69;88;125;67;82;119;67;57;77;89
818;2020-11-30;217;91;157;61;112;58;87;182;74;13;69;58
815;2020-11-29;;;;52;;54;38;30;;28;21;45
812;2020-11-28;;50;;38;96;37;69;1;;79;18;99
809;2020-11-27;163;89;146;82;119;47;155;167;38;77;120;103
806;2020-11-26;184;125;100;128;112;88;131;138;66;63;82;98
803;2020-11-25;135;57;122;123;138;94;140;140;58;76;79;96
800;2020-11-24;198;165;129;99;154;101;113;156;92;60;96;121
797;2020-11-23;150;290;179;65;111;58;232;235;65;40;89;83
794;2020-11-22;;;;55;68;38;125;6;;51;18;28
791;2020-11-21;1;23;;64;48;52;86;19;;73;22;71
788;2020-11-20;217;189;109;105;121;99;140;121;101;62;96;108
785;2020-11-19;212;229;72;109;98;117;91;205;83;82;38;108
782;2020-11-18;154;172;122;120;117;110;104;154;97;45;42;102
779;2020-11-17;223;199;117;142;94;133;159;251;73;106;74;106
776;2020-11-16;297;151;183;137;71;122;182;198;56;40;110;68
773;2020-11-15;6;;;50;77;139;73;170;;34;2;31
770;2020-11-14;4;30;;35;75;62;101;5;;43;29;72
767;2020-11-13;268;166;120;92;89;54;95;119;82;28;139;140
764;2020-11-12;344;98;92;125;120;78;168;201;88;111;45;89
761;2020-11-11;345;175;100;138;92;58;188;221;64;38;77;182
758;2020-11-10;177;120;107;124;83;97;191;170;33;63;73;64
755;2020-11-09;250;68;213;169;6;99;164;182;62;52;83;111
752;2020-11-08;;;;35;59;1;48;67;;14;1;64
749;2020-11-07;;11;;52;44;53;101;6;;34;60;47
746;2020-11-06;177;29;121;116;120;97;95;108;74;71;68;91
743;2020-11-05;195;98;128;119;103;91;150;193;49;46;43;85
740;2020-11-04;121;179;75;104;71;39;171;201;60;37;74;102
737;2020-11-03;132;99;126;131;87;85;217;187;37;54;78;95
734;2020-11-02;198;190;197;86;74;79;100;230;67;63;69;58
731;2020-11-01;2;;;32;37;;82;153;;9;;43
728;2020-10-31;;36;;87;46;23;64;;;26;9;59
725;2020-10-30;108;96;9;51;104;101;125;184;74;46;93;81
722;2020-10-29;133;95;101;103;77;54;77;145;38;52;77;96
719;2020-10-28;190;183;89;73;64;93;93;194;71;48;59;132
716;2020-10-27;165;139;118;82;60;82;97;165;26;41;63;82
713;2020-10-26;168;216;144;117;41;79;99;13;37;27;43;34
710;2020-10-25;;;;25;48;60;3;134;;25;14;16
707;2020-10-24;;61;;30;51;1;47;3;;2;12;77
704;2020-10-23;132;49;71;80;51;89;73;199;36;21;78;42
701;2020-10-22;163;81;52;73;69;38;112;144;33;34;32;68
698;2020-10-21;186;81;68;51;;31;75;148;33;31;41;61
695;2020-10-20;173;69;53;65;26;41;150;180;37;26;30;47
692;2020-10-19;120;140;43;79;20;42;99;139;32;9;32;22
689;2020-10-18;31;;;;26;14;30;76;;1;;14
686;2020-10-17;;13;5;19;30;24;31;;;6;;37
683;2020-10-16;118;61;41;70;28;44;44;113;15;13;31;48
680;2020-10-15;102;48;51;60;46;53;80;111;40;18;19;52
677;2020-10-14;110;68;36;59;20;15;61;97;16;27;27;50
674;2020-10-13;68;61;54;47;11;30;50;79;21;12;35;37
671;2020-10-12;108;71;38;38;37;32;47;143;27;8;13;28
668;2020-10-11;1;;;;29;17;41;41;;4;;13
665;2020-10-10;19;24;;27;15;12;28;1;;6;7;32
662;2020-10-09;94;43;37;41;40;32;58;84;13;17;13;32
659;2020-10-08;81;24;25;35;22;17;47;108;18;9;13;54
656;2020-10-07;79;50;35;34;23;32;58;112;13;13;11;31
653;2020-10-06;68;17;18;29;10;24;41;70;8;8;13;14
650;2020-10-05;62;37;24;31;9;27;28;38;21;3;15;15
647;2020-10-04;;;;;10;11;18;68;;1;;2
644;2020-10-03;;20;;16;4;8;13;15;;11;;9
641;2020-10-02;49;36;20;15;19;10;46;56;30;15;17;27
638;2020-10-01;51;32;26;39;18;28;45;15;14;4;24;15
635;2020-09-30;53;22;19;37;12;8;28;53;12;8;8;15
632;2020-09-29;32;24;12;17;14;11;18;45;12;5;9;17
629;2020-09-28;36;30;14;24;7;8;15;39;7;3;11;9
626;2020-09-27;;;;;;;6;8;;1;;12
623;2020-09-26;18;21;;8;3;2;19;1;;4;;7
620;2020-09-25;41;23;11;27;18;8;25;18;6;5;11;13
617;2020-09-24;55;21;15;19;8;18;23;40;13;2;2;12
614;2020-09-23;17;18;25;14;8;21;24;17;5;14;8;13
611;2020-09-22;24;24;18;24;5;8;17;26;2;5;4;12
608;2020-09-21;56;23;25;23;13;11;8;15;5;2;9;
605;2020-09-20;;;;;;;10;8;;4;5;
602;2020-09-19;;5;;14;7;;5;11;;9;;6
599;2020-09-18;29;41;11;23;6;17;15;25;4;6;8;7
596;2020-09-17;25;28;10;16;12;10;18;26;2;11;10;7
593;2020-09-16;30;28;12;13;9;14;14;23;10;9;4;8
590;2020-09-15;17;11;20;10;2;4;18;10;5;6;6;8
587;2020-09-14;33;30;;7;3;2;7;3;2;1;7;2
584;2020-09-13;;;;;;;1;4;;1;;
581;2020-09-12;;6;;2;3;3;10;11;;4;;4
578;2020-09-11;14;11;6;8;9;4;17;10;;3;1;5
575;2020-09-10;22;28;7;8;5;8;20;21;4;4;12;2
572;2020-09-09;27;17;10;10;5;1;5;21;5;2;3;9
569;2020-09-08;14;10;6;3;4;3;9;4;2;;1;2
566;2020-09-07;20;15;16;12;3;5;2;35;4;7;9;3
563;2020-09-06;;;;;;;1;;;1;;1
560;2020-09-05;;19;;3;3;6;9;;;1;;6
557;2020-09-04;15;29;11;7;7;7;12;14;2;2;8;6
554;2020-09-03;15;12;4;6;2;5;5;9;;2;8;9
551;2020-09-02;10;10;5;12;10;4;6;14;6;3;3;5
548;2020-09-01;15;4;10;10;4;7;6;5;1;;2;3
545;2020-08-31;33;19;28;10;6;4;4;10;4;;6;1
542;2020-08-30;;;;;;1;2;2;;;;
539;2020-08-29;;3;1;10;;2;5;6;;5;;3
536;2020-08-28;19;13;5;4;8;9;12;16;;4;7;7
533;2020-08-27;16;11;8;7;1;3;6;11;1;1;8;2
530;2020-08-26;20;14;13;4;11;4;7;15;2;2;6;1
527;2020-08-25;9;8;8;11;3;5;3;14;2;;3;3
524;2020-08-24;9;8;10;5;8;9;10;18;3;;12;2
521;2020-08-23;;;;;1;;;;;;;
518;2020-08-22;1;1;;4;5;4;5;2;;4;;6
515;2020-08-21;11;19;5;6;5;6;4;5;3;2;1;10
512;2020-08-20;27;10;6;10;3;9;4;12;4;5;15;5
509;2020-08-19;13;7;3;10;4;9;3;9;4;1;4;4
506;2020-08-18;13;6;7;1;2;11;12;10;1;5;1;6
503;2020-08-17;16;12;10;17;1;5;5;16;2;1;10;4
500;2020-08-16;;;;1;;;;2;;;;
497;2020-08-15;4;2;;3;2;;11;7;;;1;3
494;2020-08-14;21;15;2;6;;2;5;10;;1;;13
491;2020-08-13;19;8;3;7;5;2;9;15;9;1;2;9
488;2020-08-12;30;23;10;7;8;3;7;20;7;4;12;13
485;2020-08-11;23;8;8;10;6;3;11;19;;4;4;7
482;2020-08-10;15;14;5;9;8;;1;12;3;3;17;7
479;2020-08-09;;;;;1;;1;2;;2;;
476;2020-08-08;;;;;3;1;4;4;;3;;4
473;2020-08-07;30;16;4;3;2;1;6;20;4;2;8;7
470;2020-08-06;21;7;8;6;4;4;7;13;6;2;4;1
467;2020-08-05;13;5;2;16;1;2;9;7;2;2;6;2
464;2020-08-04;9;6;6;8;2;4;4;2;4;4;;8
461;2020-08-03;3;5;3;11;5;2;1;5;6;;4;2
458;2020-08-02;;;;;;;;;;;;
455;2020-08-01;6;1;;;2;3;4;12;;4;1;1
452;2020-07-31;23;10;5;6;4;5;4;9;1;4;2;3
449;2020-07-30;3;10;1;3;10;;1;10;1;4;;7
446;2020-07-29;7;9;7;6;5;2;6;9;1;2;4;9
443;2020-07-28;15;3;1;6;11;2;5;6;1;1;6;7
440;2020-07-27;4;2;7;3;11;1;1;8;;1;2;1
437;2020-07-26;;;;;;;3;;;;;
434;2020-07-25;3;2;;;2;2;4;;;1;;4
431;2020-07-24;7;5;10;7;2;3;4;8;1;2;8;4
428;2020-07-23;12;5;4;2;5;1;2;2;4;2;2;6
425;2020-07-22;2;1;3;5;3;;1;4;;4;2;2
422;2020-07-21;11;1;1;1;4;3;2;;;3;2;5
419;2020-07-20;6;1;2;2;1;5;2;6;;;1;4
416;2020-07-19;;;;;;;;;;;;
413;2020-07-18;;;;9;2;3;1;1;;;;3
410;2020-07-17;4;6;2;;1;2;1;1;1;;1;1
407;2020-07-16;;;;4;;2;3;1;;3;3;
404;2020-07-15;2;;1;2;;2;5;8;1;1;1;1
401;2020-07-14;2;;1;2;;1;5;;;1;11;2
398;2020-07-13;8;1;4;1;;1;1;;;;10;1
395;2020-07-12;;;;;;;1;;;;;
392;2020-07-11;;;;;;;1;1;;;;2
389;2020-07-10;7;3;2;2;2;4;;7;2;1;2;2
386;2020-07-09;5;4;1;2;3;1;2;4;;6;2;3
383;2020-07-08;4;3;1;1;2;1;3;4;;10;16;2
380;2020-07-07;10;4;3;3;1;2;2;1;;2;7;2
377;2020-07-06;7;;6;2;3;2;1;4;;3;5;
374;2020-07-05;;;;;;;1;;;;;1
371;2020-07-04;13;1;;2;1;1;11;2;;;;
368;2020-07-03;5;4;3;2;1;;5;5;3;4;6;3
365;2020-07-02;10;12;2;3;3;2;2;6;2;3;7;5
362;2020-07-01;8;5;6;3;2;1;1;7;;6;3;3
359;2020-06-30;10;1;;4;1;1;3;5;;;1;9
356;2020-06-29;14;6;4;3;1;;1;9;1;1;10;3
353;2020-06-28;;;;;;;;2;;;;
350;2020-06-27;;2;;;5;;2;6;;1;;1
347;2020-06-26;11;4;;3;2;6;1;9;1;3;;2
344;2020-06-25;10;2;1;5;6;2;12;9;2;3;5;5
341;2020-06-24;7;4;2;4;7;;4;14;3;3;3;7
338;2020-06-23;4;3;5;3;;3;11;13;5;4;9;11
335;2020-06-22;8;4;6;6;9;2;6;6;4;;6;6
332;2020-06-21;;;;;;;3;3;;14;;
329;2020-06-20;;6;;5;2;2;4;5;;5;;6
326;2020-06-19;23;35;5;13;20;1;8;6;1;9;2;13
323;2020-06-18;22;7;2;10;11;3;16;24;6;5;7;15
320;2020-06-17;9;18;3;4;1;;5;26;6;3;4;6
317;2020-06-16;6;4;8;7;7;1;1;19;3;8;4;8
314;2020-06-15;12;1;1;;;1;;5;7;4;;
311;2020-06-14;1;;3;;1;;;2;;1;2;2
308;2020-06-13;25;2;;3;5;2;6;13;;1;6;5
305;2020-06-12;2;1;3;3;6;2;1;11;1;3;1;8
302;2020-06-11;9;2;3;9;3;2;3;5;1;4;3;8
299;2020-06-10;6;1;2;2;16;;4;33;;4;4;5
296;2020-06-09;7;7;2;2;2;1;16;8;;1;4;7
293;2020-06-08;6;;3;2;;2;;7;7;;;2
